brand_name,model_name,core_thickness_mm,core_material,face_material,shape,weight_grams,swing_weight,twist_weight,spin_rpm,power_original,handle_length,grip_circumference,power_rating,control_rating,spin_rating,sweet_spot_rating,available_in_brazil,image_url,is_featured,id,brand_id,search_keywords,created_at,updated_at,version_id,specs_source,validation_sources,specs_confidence
Adidas,Pb Adipower Carbon Team Paddle (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/add-147f484eb1ce1fa64317619315328411-1024-1024.webp,False,eed15b80-6ace-41b3-b976-9b271e4ddde9,7,,2026-03-23 00:10:04.647345,2026-03-23 00:10:04.647346,,manual,,1.0
Adidas,Pb Adipower Carbon Team Paddle (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/r1-93fd493a4a2dd799f017619312273492-1024-1024.webp,False,5b1dd523-96f1-4785-b3bd-e5fc87e4af59,7,,2026-03-23 00:10:04.647536,2026-03-23 00:10:04.647537,,manual,,1.0
Adidas,Pb Adipower Ctrl 2 Paddle (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ad2-ecb89cccdbcd9e68c317619309635348-1024-1024.webp,False,37ec5cb7-514b-4016-ac33-dbbc740d31cb,7,,2026-03-23 00:10:04.647750,2026-03-23 00:10:04.647750,,manual,,1.0
Adidas,Pb Adipower Attk 3.2 (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ad2-68c010c08109691c3117619306463337-1024-1024.webp,False,69225146-d611-4f44-aaca-2e6a2abc5f82,7,,2026-03-23 00:10:04.647979,2026-03-23 00:10:04.647980,,manual,,1.0
Adidas,Pb Rx 44 2 Pb3Ca0U16 (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ad2-946f3172986505e29a17619302182613-1024-1024.webp,False,f0c7481c-0e42-479e-81a6-6560419eb7ba,7,,2026-03-23 00:10:04.648186,2026-03-23 00:10:04.648187,,manual,,1.0
Eagle,Pro Masasport (20Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/eg1-7d938603eaadc2a44317619244642137-1024-1024.webp,False,c57c0bc6-a5ed-4945-9725-2db19ec4143b,19,,2026-03-23 00:10:04.648390,2026-03-23 00:10:04.648391,,manual,,1.0
Falcon,Pro Masasport (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/f1-fca01716e612f0edc517619239829061-1024-1024.webp,False,0d396b9d-b187-4bff-a7dc-823cb5711672,20,,2026-03-23 00:10:04.648675,2026-03-23 00:10:04.648677,,manual,,1.0
Joola,Essentials (12Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/pickleballpaddleessentials-hero-4655aa2760290914ba17618902814591-1024-1024.webp,False,f41733d1-bc27-4e2b-956a-3c48fea8b485,2,,2026-03-23 00:10:04.649160,2026-03-23 00:10:04.649162,,manual,,1.0
Joola,Agassi/Graf Champion Set Ss25,,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ml_300663kitagassigraf-650acbafe9b78e368617618900420446-1024-1024.webp,False,a3105d47-a86b-49c9-9d2c-a7978b0df53d,2,,2026-03-23 00:10:04.649643,2026-03-23 00:10:04.649645,,manual,,1.0
Joola,Agassi Champion Ss25 (12Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/raf41e_1-fb42d6bf3b703a607617618899601764-1024-1024.webp,False,e8c09678-6785-4d20-8c9b-0b37f029e1bf,2,,2026-03-23 00:10:04.650035,2026-03-23 00:10:04.650037,,manual,,1.0
Joola,Graf Champion Ss25 (12Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/raquet_1_03fb99b1-7846-4561-8092-57d245b900c9-06dadfec1ab199aa5417618898974775-1024-1024.webp,False,ca53f1f6-642e-4773-acca-a5d03398b7df,2,,2026-03-23 00:10:04.650254,2026-03-23 00:10:04.650255,,manual,,1.0
Joola,Seneca Cds (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/raquete-pickleball-joola-seneca-cds-16mm-carbon-drive-surface-grip-brasil-web1-fb527e17028609e08617618897330914-1024-1024.webp,False,c2062537-bb80-4c44-a2f3-aeff809b25ee,2,,2026-03-23 00:10:04.650458,2026-03-23 00:10:04.650459,,manual,,1.0
Joola,Seneca Fds (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/raquete-pickleball-joola-seneca-fds-14mm-fiberglass-drive-surface-grip-brasil-web1-b16469cac13deb421817618896733947-1024-1024.webp,False,54bc96d5-50c1-4843-b49c-150c8e62e0c8,2,,2026-03-23 00:10:04.650660,2026-03-23 00:10:04.650660,,manual,,1.0
Joola,Ben Johns Perseus Cfs (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/raaaaa_1-f5db457f1db19f2ca017618895807799-1024-1024.webp,False,e0bd1fbc-347e-44da-8baf-93b43bf86c78,2,,2026-03-23 00:10:04.650870,2026-03-23 00:10:04.650871,,manual,,1.0
Joola,Collin Johns Scorpeus Cfs (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/rae2f7_1-37eb2c5afbd3c516fd17618895044753-1024-1024.webp,False,ccf8ce45-4327-4ed5-a48d-d311903028a8,2,,2026-03-23 00:10:04.651097,2026-03-23 00:10:04.651098,,manual,,1.0
Joola,Anna Bright Scorpeus Cfs14,,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ra99d5_1-fe1d149638a02c5e6117618894051239-1024-1024.webp,False,fef3600a-308f-4ae4-a6ef-85ead10f2779,2,,2026-03-23 00:10:04.651309,2026-03-23 00:10:04.651310,,manual,,1.0
Joola,Ben Johns Hyperion C2 Cfs (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/ra4fa3_1-ca2429b8298327c4f517618892801380-1024-1024.webp,False,56d3da51-1621-41e2-af4e-bcf1cc236754,2,,2026-03-23 00:10:04.651516,2026-03-23 00:10:04.651516,,manual,,1.0
Joola,Tyson Mcguffin Magnus Cas (14Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/rad846_1-ee9b20a4fd689d530217618891502977-1024-1024.webp,False,b8b0cf59-7b03-4e55-8648-e083a12945bf,2,,2026-03-23 00:10:04.651772,2026-03-23 00:10:04.651773,,manual,,1.0
Joola,Tyson Mcguffin Magnus 3S (16Mm),,,,,,,,,,,,,,,,True,https://dcdn-us.mitiendanube.com/stores/006/894/516/products/-1b18a0df1d15e5dde617618889153658-1024-1024.webp,False,ea77b990-6502-4846-96c0-9ca7a1d020d5,2,,2026-03-23 00:10:04.651990,2026-03-23 00:10:04.651991,,manual,,1.0
