name,slug,base_url,is_active,available_brands,id
Joola Brasil,joola-brasil,https://joola.com.br,True,,14
Shark,shark,https://sharkbeachtennis.com.br,True,,15
Loja Supremo,loja-supremo,https://lojasupremo.com.br,True,,16
yoSports,yosports,https://yosports.com.br,True,,17
PCKL House,pcklhouse,https://pcklhouse.com.br,True,,18
ProPadel,propadel,https://lojapropadel.com.br,True,,19
Just Paddles,just-paddles,https://justpaddles.com.br,True,,20
Brazil Pickleball Store,brazil-pickleball-store,https://brazilpickleballstore.com.br,True,,21
Drop Shot Brasil,drop-shot-brasil,https://dropshot.com.br,True,,22
ProSpin,prospin,https://prospin.com.br,True,,23
